	103504732
hsa-mir-4633	100616175
hsa-mir-6812	102465487
hsa-mir-4634	100616202
hsa-mir-6811	102465486
hsa-mir-4635	100616479
hsa-mir-6814	102465488
hsa-mir-4636	100616326
hsa-mir-6813	102466741
hsa-mir-548f-4	100313895
hsa-mir-6809	102465485
hsa-mir-376b	574435
hsa-mir-548f-5	100302239
hsa-mir-6808	102466740
hsa-mir-548f-2	100313771
hsa-mir-548f-3	100302159
hsa-mir-494	574452
hsa-mir-6805	102465483
hsa-mir-493	574450
hsa-mir-6804	102465482
hsa-mir-496	574454
hsa-mir-6807	102465976
hsa-mir-495	574453
hsa-mir-6806	102465484
hsa-mir-498	574460
hsa-mir-6801	102466984
hsa-mir-18a"	406953
hsa-mir-497	574456
hsa-mir-6800	102465480
hsa-mir-6803	102466739
hsa-mir-499	574501
hsa-mir-6802	102465481
hsa-mir-4651	100616270
hsa-mir-6830	102465498
hsa-mir-4652	100616206
hsa-mir-4653	100616117
hsa-mir-6832	102466745
hsa-mir-4654	100616386
hsa-mir-6831	102465499
hsa-mir-302a"	407028
hsa-mir-492	574449
hsa-mir-491	574444
hsa-mir-378i	100616259
hsa-mir-378h	100616306
hsa-mir-548f-1	100302192
hsa-mir-378g	100616321
hsa-mir-378f	100616492
hsa-mir-378j	102465136
hsa-mir-483	619552
hsa-mir-6838	102465504
hsa-mir-6837	102466985
hsa-mir-485	574436
"hsa-mir-208	406990
hsa-mir-484	619553
hsa-mir-6839	102465505
hsa-mir-1302-10	100422834
hsa-mir-4655	100616160
hsa-mir-6834	102465501
hsa-mir-486	619554
hsa-mir-1302-11	100422919
hsa-mir-4656	100616465
hsa-mir-6833	102465500
hsa-mir-489	574442
hsa-mir-4657	100616393
hsa-mir-6836	102465503
hsa-mir-488	574441
hsa-mir-4658	100616439
hsa-mir-6835	102465502
hsa-mir-4640	100616237
hsa-mir-4641	100616178
hsa-mir-4642	100616352
hsa-mir-6821	102465493
hsa-mir-4643	100616174
hsa-mir-6820	102465492
hsa-mir-3680-2	100847041
hsa-mir-513a-1"	574509
hsa-mir-378e	100616498
"hsa-mir-216	406998
hsa-mir-378c	100422867
hsa-mir-378b	100422933
hsa-mir-4648	100616116
hsa-mir-6827	102466744
"hsa-mir-217	406999
hsa-mir-4649	100616346
hsa-mir-6826	102465496
hsa-mir-2467	100616360
hsa-mir-6829	102465977
hsa-mir-6828	102465497
hsa-mir-4644	100616430
hsa-mir-6823	102465494
hsa-mir-4645	100616285
hsa-mir-6822	102466743
hsa-mir-4646	100616230
hsa-mir-4776-1	100616267
hsa-mir-6825	102466199
hsa-mir-4647	100616124
hsa-mir-4776-2	100616472
hsa-mir-6824	102465495
hsa-mir-550a-3	100616354
hsa-mir-591	693176
hsa-mir-513-2	574510
hsa-mir-590	693175
hsa-mir-589	693174
hsa-mir-107	406901
hsa-mir-519c	574466
hsa-mir-582	693167
hsa-mir-519d	574480
hsa-mir-581	693166
hsa-mir-100	406892
