miRNA_id	miRNA_family	Tulip14	Tulip27	Tulip04	Tulip01	Tulip13	Tulip20	Tulip24	Tulip25	Tulip28	Tulip09	Tulip03	Tulip17	Tulip06	Tulip05	Tulip11	Tulip07	Tulip22
hsa-mir-432-5p	mir-432-5p	-0.909	0.268	-0.386	-0.634	-0.724	-1.058	-0.508	-1.559	2.159	0.296	-0.067	-0.325	0.452	-0.147	1.358	0.27	1.514
hsa-mir-382-5p	mir-382-5p	-0.917	0.105	-0.494	-0.671	-1.138	-1.107	-0.325	-1.941	1.851	-0.025	0.595	-0.063	0.411	0.051	1.51	0.501	1.656
hsa-mir-487b-3p	mir-487-3p	-1.195	0.074	-0.644	-0.347	-0.408	-0.974	-0.485	-2.189	1.673	0.199	0.616	-0.736	0.513	0.066	1.745	0.245	1.845
hsa-mir-133b	mir-133a-3p.2/133b	0.572	2.12	-1.133	-1.042	-0.22	-1.127	-1.027	-1.689	1.464	0.469	1.512	0.958	-0.923	0.403	-0.616	0.787	-0.508
hsa-mir-17-3p	mir-17-3p	-0.092	-0.254	-0.395	-0.026	-0.065	-0.24	0.462	1.099	0.327	-0.335	0.143	0.231	-0.256	-0.11	-0.239	-0.498	0.247
hsa-mir-431-5p	mir-431-5p	-0.905	0.327	-0.47	-0.393	-0.645	-1.313	-0.336	-1.7	1.651	0.357	0.475	-0.141	0.664	-0.156	1.191	0.067	1.326
hsa-mir-133a-3p	NA	0.678	1.933	-1.022	-1.196	-0.269	-1.342	-0.994	-1.719	1.46	0.244	1.82	0.817	-0.936	0.701	-0.329	0.575	-0.421
hsa-mir-196b-5p	mir-196-5p	-0.014	0.527	-0.364	0.167	-0.054	-0.247	-0.263	0.184	0.394	0.172	-0.103	0.114	-0.007	-0.34	0.121	-0.363	0.077
hsa-mir-32-5p	mir-25-3p/32-5p/92-3p/363-3p/367-3p	-0.143	-0.194	0.918	0.109	-0.899	-0.658	-0.757	-0.168	-0.247	0.738	0.823	-0.324	1.252	-0.465	0.262	-0.207	-0.038
hsa-mir-1-3p	mir-1-3p/206	0.674	1.851	-0.693	-0.26	-0.307	-2.181	-2.299	-3.211	1.071	0.637	2.074	1.127	-0.358	1.191	-0.32	1.203	-0.199
hsa-mir-96-5p	mir-96-5p/1271-5p	-0.096	-0.025	0.933	1.83	0.127	-0.282	1.222	1.365	-2.608	0.825	-1.224	-1.966	1.011	-0.819	-0.682	1.758	-1.366
hsa-mir-224-5p	mir-224-5p	-0.458	-0.901	-0.111	-0.906	0.372	-1.027	-0.281	-2.882	1.067	-0.709	1.929	0.787	0.926	0.849	0.71	-0.233	0.867
hsa-mir-28-5p	mir-28-5p/708-5p	0.195	-0.581	-0.533	-0.099	-0.346	-0.718	-0.654	-0.812	0.625	0.005	0.435	0.9	0.786	-0.19	0.323	0.005	0.659
hsa-mir-4732-3p	mir-4732-3p	0.918	-0.121	0.251	0.014	0.824	0.743	1.018	1.012	-1.246	0.456	-1.168	-0.533	-0.203	-0.377	-0.706	-0.25	-0.632
