Ensembl	GeneSymbol	R1t0_5	R1t1	R1t2	R1t8	R1t16	R1t24	R1t30	R2t0_5	R2t1	R2t2	R2t8	R2t16	R2t24	R2t30
ENSG00000141499	WRAP53	0.1	0.2	0.4	0.37	-0.01	-0.03	0	-0.05	-0.11	-0.24	-0.21	-0.3	0.05	0.36
ENSG00000143198	MGST3	-0.04	-0.07	-0.14	-0.87	-0.53	-0.24	-0.03	-0.04	-0.08	-0.16	-0.21	-0.23	-0.07	0.06
ENSG00000145354	CISD2	-0.08	-0.16	-0.31	-0.41	-0.32	-0.21	-0.12	0.03	0.06	0.13	0.35	0.3	0.17	0.06
ENSG00000145912	NHP2	-0.01	-0.01	-0.02	-0.24	-0.12	0	0.08	0.03	0.05	0.1	-0.27	-0.14	0	0.1
ENSG00000146066	HIGD2A	-0.13	-0.26	-0.53	-0.98	-0.53	-0.25	-0.05	-0.09	-0.19	-0.37	-0.11	-0.02	0.18	0.34
ENSG00000146223	RPL7L1	-0.16	-0.32	-0.63	-1.25	-0.49	-0.05	0.25	-0.08	-0.17	-0.33	0.3	0.19	0.16	0.14
ENSG00000146648	EGFR	-0.04	-0.08	-0.16	-0.57	-0.37	-0.15	0.02	-0.03	-0.05	-0.09	-0.2	-0.14	0.1	0.25
ENSG00000146729	GBAS	-0.03	-0.05	-0.09	-0.42	-0.19	-0.08	0.01	-0.14	-0.28	-0.56	-0.39	-0.38	-0.31	-0.25
ENSG00000148187	MRRF	0.04	0.09	0.17	0.17	0.18	0.23	0.27	-0.04	-0.07	-0.14	0.16	0.19	0.2	0.2
ENSG00000149257	SERPINH1	-0.03	-0.05	-0.1	-0.58	0.07	0.09	0.07	0.01	0.03	0.06	0.18	-0.01	-0.17	-0.29
ENSG00000150768	DLAT	-0.01	-0.01	-0.02	-0.54	-0.7	-0.42	-0.22	0.04	0.08	0.17	-0.71	-0.63	-0.39	-0.22
ENSG00000156471	PTDSS1	-0.04	-0.09	-0.17	-0.39	-0.16	0.09	0.29	-0.08	-0.16	-0.33	-0.75	-0.5	-0.14	0.14
ENSG00000156482	RPL30	-0.04	-0.08	-0.16	-0.22	-0.12	-0.08	-0.05	0.04	0.07	0.14	0.27	0.16	0.07	0
ENSG00000158825	CDA	-0.1	-0.2	-0.4	-0.53	-0.44	-0.51	-0.58	-0.09	-0.19	-0.38	-0.12	-0.25	-0.47	-0.63
ENSG00000159111	MRPL10	0.07	0.13	0.27	0.41	0.33	0.25	0.18	-0.06	-0.12	-0.25	0.23	0.2	0.17	0.15
ENSG00000162408	NOL9	-0.07	-0.13	-0.27	0.02	0.01	0.03	0.05	-0.02	-0.05	-0.09	0.08	0.09	0.1	0.1
ENSG00000163541	SUCLG1	-0.01	-0.03	-0.07	0.05	-0.24	-0.19	-0.19	-0.11	-0.22	-0.44	-0.22	-0.29	-0.4	-0.49
ENSG00000165264	NDUFB6	-0.07	-0.14	-0.29	-0.67	-0.52	-0.37	-0.25	-0.03	-0.07	-0.13	-0.26	-0.22	-0.18	-0.14
ENSG00000167721	TSR1	0	0	0	-0.07	-0.07	0.24	0.35	-0.02	-0.03	-0.06	-0.26	-0.04	0.08	0.17
ENSG00000167996	FTH1	-0.03	-0.05	-0.1	0.25	0.34	0.35	0.35	-0.06	-0.11	-0.21	0.09	0.03	0.07	0.11
ENSG00000168028	RPSA	-0.11	-0.21	-0.42	-1.27	-0.23	0.06	0.24	0.16	0.32	0.65	0.02	0.01	0.14	0.24
ENSG00000168827	GFM1	-0.06	-0.13	-0.25	-0.69	-0.2	0.03	0.2	-0.09	-0.18	-0.36	-0.24	-0.08	0	0.06
ENSG00000172354	GNB2	-0.03	-0.06	-0.12	-0.42	-0.2	-0.12	-0.08	-0.2	-0.41	-0.82	-0.04	-0.79	-0.75	-0.73
ENSG00000172380	GNG12	0.04	0.08	0.17	-0.13	-0.17	-0.22	-0.27	-0.04	-0.09	-0.18	-0.53	-0.56	-0.58	-0.58
ENSG00000173915	USMG5	-0.07	-0.14	-0.27	-0.57	-0.31	-0.12	0.02	-0.02	-0.04	-0.08	-0.22	-0.23	-0.18	-0.13
