Ensembl	GeneSymbol	R1t0_5	R1t1	R1t2	R1t8	R1t16	R1t24	R1t30	R2t0_5	R2t1	R2t2	R2t8	R2t16	R2t24	R2t30
ENSG00000184840	TMED9	0.25	0.5	1	-0.06	0.45	0.95	1.33	-0.01	-0.01	-0.02	0.3	0.5	0.77	0.99
ENSG00000185624	P4HB	0	0.01	0.02	0.18	0.23	0.82	1.19	0.04	0.07	0.14	0.62	0.69	0.94	1.15
ENSG00000186832	KRT16	0.56	1.12	2.25	2.67	2.01	2.2	2.41	-0.26	-0.53	-1.05	1.61	1.68	1.36	1.09
ENSG00000187735	TCEA1	-0.01	-0.01	-0.02	-0.19	-0.23	-0.22	-0.2	-0.12	-0.24	-0.49	-0.73	-0.78	-0.89	-0.98
ENSG00000196305	IARS	0.06	0.12	0.23	-0.11	-0.25	-0.07	0.02	-0.01	-0.02	-0.05	-0.48	-0.27	-0.02	0.18
ENSG00000197102	DYNC1H1	0	-0.01	-0.03	-0.07	-0.31	-0.29	-0.32	0.01	0.03	0.06	-0.41	-0.31	-0.31	-0.3
ENSG00000198363	ASPH	-0.09	-0.17	-0.34	-0.14	-0.16	0.17	0.43	0.06	0.12	0.25	0.37	0.39	0.47	0.53
ENSG00000198910	L1CAM	0.07	0.14	0.26	-0.44	-0.91	-0.75	-0.56	-0.12	-0.23	-0.46	-1.9	-1.51	-1.12	-0.83
ENSG00000206450	HLA-B	-0.02	-0.04	-0.09	-0.23	0.13	0.57	0.91	-0.12	-0.24	-0.48	0.13	-0.02	0.39	0.62
ENSG00000214253	FIS1	-0.07	-0.14	-0.28	-0.22	-0.32	-0.31	-0.29	0.06	0.13	0.26	-0.77	-0.77	-1.03	-1.27
ENSG00000232119	MCTS1	0.04	0.07	0.13	0.24	-0.27	-0.52	-0.68	0.13	0.27	0.53	-0.2	-0.5	-0.79	-1.01
ENSG00000248098	BCKDHA	0.07	0.14	0.28	0.09	0.2	0.76	1.24	0.14	0.28	0.56	-0.61	-0.14	0.05	0.19
ENSG00000004961	HCCS	-0.05	-0.11	-0.23	-1.35	-1.33	-1.59	-1.81	-0.08	-0.17	-0.34	-0.75	-0.93	-0.88	-0.82
ENSG00000005194	CIAPIN1	0	0.01	0.01	-0.78	-1.09	-1.35	-1.54	-0.15	-0.3	-0.6	-1.1	-1.38	-1.27	-1.22
ENSG00000006125	AP2B1	0.11	0.21	0.41	-0.17	-0.15	-0.45	-0.71	0.02	0.04	0.09	-0.59	-0.98	-1.11	-1.21
ENSG00000009844	VTA1	-0.2	-0.4	-0.79	-0.32	-0.73	-1.11	-1.4	-0.03	-0.05	-0.09	-0.59	-0.46	-0.42	-0.4
ENSG00000028528	SNX1	-0.18	-0.36	-0.73	1.07	0.54	-0.48	-1.09	-0.22	-0.44	-0.86	-0.92	-1.18	-0.94	-0.69
ENSG00000047315	POLR2B	0	0	0.02	-0.78	-1.95	-1.91	-2.12	0.02	0.05	0.11	-1.55	-0.89	-0.77	-0.73
ENSG00000047849	MAP4	-0.01	-0.02	-0.03	0.24	0.1	-0.11	-0.28	0.01	0.02	0.04	-0.17	-0.27	-0.17	-0.1
ENSG00000064601	CTSA	0	0	0	-1.12	-1.12	-1.24	-1.34	-0.2	-0.4	-0.79	-1.36	-1.21	-1.87	-2.25
ENSG00000065135	GNAI3	-0.15	-0.31	-0.62	0.64	-0.15	-0.24	-0.41	0.07	0.13	0.28	0.2	-0.47	-0.59	-0.62
ENSG00000065548	ZC3H15	-0.01	-0.02	-0.04	-0.88	-0.42	-0.75	-1.05	-0.18	-0.36	-0.73	-1.26	-0.97	-1.17	-1.37
ENSG00000067057	PFKP	0.04	0.07	0.15	0.02	-0.32	-0.76	-1.09	-0.02	-0.04	-0.09	-0.21	-0.24	-0.14	-0.06
ENSG00000072501	SMC1A	-0.11	-0.22	-0.45	-0.43	-0.52	-0.53	-0.53	-0.05	-0.09	-0.18	-0.33	-0.33	-1.17	-1.48
ENSG00000073584	SMARCE1	-0.31	-0.64	-1.28	-0.38	-0.48	-0.86	-1.17	-0.02	-0.03	-0.04	-0.31	-0.57	-0.75	-0.88
ENSG00000075234	TTC38	0.38	0.75	1.5	0.02	0.35	-0.5	-1.22	-0.2	-0.41	-0.82	-1.43	-1.42	-1.45	-1.48
ENSG00000075856	SART3	0.21	0.41	0.8	-0.46	-0.27	-0.98	-1.62	-0.06	-0.12	-0.24	-0.61	-0.73	-0.99	-1.2
ENSG00000076003	MCM6	0.01	0.02	0.03	0.1	0.1	0.09	0.08	-0.08	-0.16	-0.32	-0.48	-0.49	-0.39	-0.31
ENSG00000077809	GTF2I	-0.04	-0.08	-0.16	-0.09	-0.42	-0.7	-0.89	-0.01	-0.02	-0.04	-0.26	-0.55	-0.77	-0.94
ENSG00000080503	SMARCA2	0.4	0.79	1.53	1.09	1.32	0.62	0.09	-0.22	-0.44	-0.86	-0.84	-0.98	-1.44	-1.83
ENSG00000080608	KIAA0020	-0.02	-0.03	-0.05	0.74	0.26	-0.31	-0.72	0.07	0.13	0.26	0.16	0.53	0.44	0.35
ENSG00000082068	WDR70	0.08	0.17	0.33	-0.45	-1.5	-2.55	-3.33	-0.07	-0.13	-0.24	-0.61	-0.43	-0.47	-0.5
ENSG00000082898	XPO1	0.09	0.18	0.36	-0.28	-0.34	-0.57	-0.74	-0.04	-0.07	-0.13	-0.99	-0.72	-0.61	-0.55
ENSG00000088367	EPB41L1	-0.24	-0.47	-0.94	0.11	0.11	-1.13	-1.59	-0.19	-0.37	-0.76	0.83	0.49	0.25	0.08
ENSG00000089159	PXN	0.18	0.35	0.71	-0.24	-0.77	-1.41	-1.92	-0.06	-0.12	-0.23	-0.44	-1.12	-1.76	-2.23
ENSG00000090054	SPTLC1	0.3	0.61	1.19	0.77	0.69	1.08	1.38	0.09	0.18	0.38	0.65	-0.03	-0.67	-1.15
ENSG00000090615	GOLGA3	-0.22	-0.45	-0.88	-2.25	-2.35	-2.47	-2.56	-0.43	-0.86	-1.72	0.09	-0.23	-0.3	-0.38
