miRNA_normalized_dat_mean_centered_w_fam_names_14072020.txt,miRNA_family	protein_normalized_dat_mean_centered_14072020.txt,entrezs
mir-501-3p/502-3p	79776
mir-501-3p/502-3p	84572
mir-501-3p/502-3p	3157
mir-501-3p/502-3p	7756
mir-501-3p/502-3p	84838
mir-501-3p/502-3p	55809
mir-501-3p/502-3p	10054
mir-501-3p/502-3p	10777
mir-501-3p/502-3p	3267
mir-501-3p/502-3p	55327
mir-501-3p/502-3p	3939
mir-501-3p/502-3p	4082
mir-501-3p/502-3p	6327
mir-501-3p/502-3p	6326
mir-501-3p/502-3p	8038
mir-501-3p/502-3p	22865
mir-501-3p/502-3p	115286
mir-501-3p/502-3p	84259
mir-501-3p/502-3p	51377
mir-501-3p/502-3p	1350
mir-501-3p/502-3p	8929
mir-501-3p/502-3p	1003
mir-501-3p/502-3p	1021
mir-501-3p/502-3p	10640
mir-501-3p/502-3p	26031
mir-501-3p/502-3p	132864
mir-501-3p/502-3p	3845
mir-501-3p/502-3p	4205
mir-501-3p/502-3p	5010
mir-133a-3p.2/133b	25946
mir-133a-3p.2/133b	204
mir-133a-3p.2/133b	10054
mir-133a-3p.2/133b	6456
mir-133a-3p.2/133b	8545
mir-133a-3p.2/133b	100529207
mir-133a-3p.2/133b	10144
mir-133a-3p.2/133b	55147
mir-133a-3p.2/133b	56253
mir-133a-3p.2/133b	54620
mir-133a-3p.2/133b	5937
mir-133a-3p.2/133b	4650
mir-133a-3p.2/133b	9877
mir-133a-3p.2/133b	6940
mir-133a-3p.2/133b	117608
mir-133a-3p.2/133b	10818
mir-133a-3p.2/133b	5789
mir-133a-3p.2/133b	11122
mir-133a-3p.2/133b	5796
mir-133a-3p.2/133b	2200
mir-133a-3p.2/133b	2201
mir-133a-3p.2/133b	55870
mir-133a-3p.2/133b	118980
mir-133a-3p.2/133b	94097
mir-133a-3p.2/133b	64599
mir-133a-3p.2/133b	23484
mir-133a-3p.2/133b	79956
mir-133a-3p.2/133b	23291
mir-133a-3p.2/133b	27173
mir-133a-3p.2/133b	57555
mir-133a-3p.2/133b	84280
mir-133a-3p.2/133b	1404
mir-133a-3p.2/133b	83478
mir-133a-3p.2/133b	80728
mir-133a-3p.2/133b	94134
mir-133a-3p.2/133b	84725
mir-133a-3p.2/133b	65977
mir-133a-3p.2/133b	2246
mir-133a-3p.2/133b	79896
mir-133a-3p.2/133b	374986
mir-133a-3p.2/133b	57171
mir-133a-3p.2/133b	5097
mir-133a-3p.2/133b	6907
mir-133a-3p.2/133b	801
mir-133a-3p.2/133b	79850
mir-133a-3p.2/133b	170394
mir-133a-3p.2/133b	10121
mir-133a-3p.2/133b	27351
mir-133a-3p.2/133b	84253
mir-133a-3p.2/133b	81553
mir-133a-3p.2/133b	55603
mir-133a-3p.2/133b	54855
mir-133a-3p.2/133b	163933
mir-133a-3p.2/133b	2138
mir-133a-3p.2/133b	2070
mir-133a-3p.2/133b	64427
mir-133a-3p.2/133b	2891
mir-133a-3p.2/133b	2895
mir-133a-3p.2/133b	7781
mir-133a-3p.2/133b	64924
mir-133a-3p.2/133b	148867
mir-133a-3p.2/133b	726
mir-133a-3p.2/133b	23228
mir-133a-3p.2/133b	79047
mir-133a-3p.2/133b	222658
mir-133a-3p.2/133b	57528
mir-133a-3p.2/133b	54361
mir-133a-3p.2/133b	9519
mir-133a-3p.2/133b	116150
mir-133a-3p.2/133b	64333
mir-133a-3p.2/133b	200576
mir-133a-3p.2/133b	9197
mir-133a-3p.2/133b	22794
mir-133a-3p.2/133b	79001
mir-133a-3p.2/133b	7798
mir-133a-3p.2/133b	80255
mir-133a-3p.2/133b	4363
